observation_date	coffee_cpi	price_arabica	price_tea	price_milk
1980-01-01	114.200	168.6700	225.1799011	93.2
1980-02-01	114.300	164.8300	233.0944977	93.9
1980-03-01	113.900	184.3800	226.8332977	93.5
1980-04-01	113.300	180.8100	221.8067932	93.9
1980-05-01	113.400	190.5400	229.6112061	93.95
1980-06-01	113.000	181.4100	235.4093018	94
1980-07-01	113.500	155.6700	222.2917938	94.2
1980-08-01	113.300	135.9900	226.0397034	96.5
1980-09-01	111.600	125.8800	209.7476044	97.9
1980-10-01	108.500	126.0900	203.662796	100
1980-11-01	106.400	114.8600	223.5704956	101.1
1980-12-01	103.900	121.2100	216.2512054	103
1981-01-01	102.400	127.9800	217.3755035	102.4
1981-02-01	98.900	125.1100	222.8430023	102.9
1981-03-01	97.500	125.9300	221.7185974	102.3
1981-04-01	97.000	128.2000	216.1408997	101.7
1981-05-01	96.600	125.9300	208.2042999	100.2
1981-06-01	95.900	111.9400	199.4078979	100.6
1981-07-01	95.500	120.0100	186.5549011	100.8
1981-08-01	94.600	124.0900	175.4216003	100.9
1981-09-01	94.200	126.0200	179.8748932	102.2
1981-10-01	93.800	136.4100	192.5735016	105.2
1981-11-01	93.600	143.7900	201.1053925	102.5
1981-12-01	94.200	141.6700	201.7667999	101.8
1982-01-01	96.100	143.9000	202.7588959	101.2
1982-02-01	98.500	155.0000	207.3665009	101.3
1982-03-01	98.900	144.8300	194.976593	99.9
1982-04-01	99.300	141.4000	186.4667969	99.2
1982-05-01	99.400	137.0000	186.9076996	98.5
1982-06-01	98.800	141.0200	183.5126038	98.5
1982-07-01	98.800	131.1100	175.7303009	98.7
1982-08-01	98.900	132.8300	178.1333008	98.7
1982-09-01	98.300	136.7300	191.3390045	100
1982-10-01	98.300	141.1800	201.4582062	101.2
1982-11-01	98.100	137.8600	197.7984924	101.4
1982-12-01	98.600	133.7900	211.5773926	101.3
1983-01-01	99.400	128.5300	216.846405	100.8
1983-02-01	99.600	125.8700	205.2501068	100.9
1983-03-01	99.200	124.2700	197.7765045	100
1983-04-01	99.000	123.9600	203.6407013	99.3
1983-05-01	99.300	128.1500	200.6865997	99
